06-12-2026 19:06:16 RAM 1724/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,41%@1574,45%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.093C soc2@49.906C soc0@50.156C gpu@51.687C tj@53.093C soc1@50.625C VDD_IN 8870mW/8279mW VDD_CPU_GPU_CV 3772mW/3423mW VDD_SOC 1734mW/1687mW
06-12-2026 19:06:16 RAM 1724/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,66%@1574,100%@1574,54%@1574,50%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.406C soc2@49.968C soc0@50C gpu@51.75C tj@52.406C soc1@50.656C VDD_IN 7463mW/8256mW VDD_CPU_GPU_CV 2873mW/3407mW VDD_SOC 1579mW/1684mW
06-12-2026 19:06:16 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,8%@1574,100%@1574,40%@1574,27%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.281C soc2@49.937C soc0@50.031C gpu@51.875C tj@52.281C soc1@50.781C VDD_IN 7700mW/8241mW VDD_CPU_GPU_CV 3070mW/3398mW VDD_SOC 1619mW/1682mW
06-12-2026 19:06:16 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1651,100%@1651,50%@1651,100%@1651,27%@1651,33%@1651] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.75C soc0@50.125C gpu@51.562C tj@52.906C soc1@50.687C VDD_IN 9146mW/8265mW VDD_CPU_GPU_CV 4283mW/3421mW VDD_SOC 1692mW/1682mW
06-12-2026 19:06:16 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,63%@1574,41%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@49.968C soc0@50.031C gpu@51.906C tj@53C soc1@50.562C VDD_IN 9028mW/8285mW VDD_CPU_GPU_CV 4165mW/3441mW VDD_SOC 1731mW/1684mW
06-12-2026 19:06:16 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,30%@729,36%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.093C soc2@49.906C soc0@50.062C gpu@51.625C tj@52.093C soc1@50.687C VDD_IN 6476mW/8240mW VDD_CPU_GPU_CV 1892mW/3402mW VDD_SOC 1579mW/1681mW
06-12-2026 19:06:17 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,27%@1574,30%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.968C soc2@49.906C soc0@50.156C gpu@51.718C tj@52.968C soc1@50.656C VDD_IN 9225mW/8264mW VDD_CPU_GPU_CV 4165mW/3420mW VDD_SOC 1695mW/1681mW
06-12-2026 19:06:17 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,18%@1574,27%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.968C soc2@49.937C soc0@50.031C gpu@51.812C tj@52.968C soc1@50.75C VDD_IN 8870mW/8278mW VDD_CPU_GPU_CV 3968mW/3433mW VDD_SOC 1692mW/1682mW
06-12-2026 19:06:17 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,30%@1574,10%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.281C soc2@50C soc0@50C gpu@51.687C tj@53.281C soc1@50.687C VDD_IN 9288mW/8302mW VDD_CPU_GPU_CV 4197mW/3451mW VDD_SOC 1692mW/1682mW
06-12-2026 19:06:17 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,45%@1574,27%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.281C soc2@50C soc0@50.218C gpu@51.937C tj@53.281C soc1@50.75C VDD_IN 9028mW/8318mW VDD_CPU_GPU_CV 4047mW/3465mW VDD_SOC 1695mW/1682mW
06-12-2026 19:06:17 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,36%@1574,30%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.812C soc2@50.062C soc0@50.062C gpu@51.625C tj@52.812C soc1@50.593C VDD_IN 8830mW/8329mW VDD_CPU_GPU_CV 4086mW/3479mW VDD_SOC 1692mW/1682mW
06-12-2026 19:06:17 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,27%@1574,27%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@50.062C soc0@50.062C gpu@51.656C tj@53C soc1@50.718C VDD_IN 9131mW/8347mW VDD_CPU_GPU_CV 4315mW/3497mW VDD_SOC 1731mW/1683mW
06-12-2026 19:06:17 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,11%@1574,18%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.156C soc2@50.125C soc0@50.125C gpu@51.906C tj@53.156C soc1@50.625C VDD_IN 8830mW/8357mW VDD_CPU_GPU_CV 3968mW/3507mW VDD_SOC 1695mW/1684mW
06-12-2026 19:06:17 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,41%@1574,60%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.937C soc2@50.062C soc0@50.125C gpu@52.062C tj@52.937C soc1@50.812C VDD_IN 9382mW/8378mW VDD_CPU_GPU_CV 4354mW/3524mW VDD_SOC 1731mW/1685mW
06-12-2026 19:06:17 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,27%@729,27%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.937C soc2@50.093C soc0@50.062C gpu@51.875C tj@52.937C soc1@50.75C VDD_IN 6515mW/8340mW VDD_CPU_GPU_CV 1813mW/3489mW VDD_SOC 1579mW/1682mW
06-12-2026 19:06:18 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,20%@1574,41%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.968C soc2@50.062C soc0@50.125C gpu@51.687C tj@52.968C soc1@50.687C VDD_IN 9249mW/8359mW VDD_CPU_GPU_CV 4237mW/3504mW VDD_SOC 1695mW/1683mW
06-12-2026 19:06:18 RAM 1852/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,25%@1574,20%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.718C soc2@50C soc0@50.031C gpu@51.812C tj@52.718C soc1@50.781C VDD_IN 8633mW/8364mW VDD_CPU_GPU_CV 3968mW/3514mW VDD_SOC 1731mW/1684mW
06-12-2026 19:06:18 RAM 1853/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,81%@1574,41%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@50C soc0@50.062C gpu@51.75C tj@53C soc1@50.781C VDD_IN 9525mW/8386mW VDD_CPU_GPU_CV 4433mW/3531mW VDD_SOC 1731mW/1685mW
06-12-2026 19:06:18 RAM 1854/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,36%@1574,46%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.843C soc2@50C soc0@50.093C gpu@51.687C tj@52.843C soc1@50.843C VDD_IN 9367mW/8405mW VDD_CPU_GPU_CV 4393mW/3547mW VDD_SOC 1731mW/1685mW
