06-12-2026 19:44:27 RAM 1736/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,90%@1728,45%@883,45%@883] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.937C soc2@50.75C soc0@50.625C gpu@52.343C tj@53.937C soc1@51.531C VDD_IN 9343mW/9226mW VDD_CPU_GPU_CV 4472mW/4366mW VDD_SOC 1692mW/1695mW
06-12-2026 19:44:27 RAM 1736/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@960,50%@960] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.218C soc2@50.75C soc0@50.718C gpu@52.375C tj@54.218C soc1@51.468C VDD_IN 9288mW/9228mW VDD_CPU_GPU_CV 4511mW/4371mW VDD_SOC 1731mW/1696mW
06-12-2026 19:44:27 RAM 1736/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,53%@729,36%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.218C soc2@50.906C soc0@50.656C gpu@52.406C tj@54.218C soc1@51.468C VDD_IN 9682mW/9241mW VDD_CPU_GPU_CV 4747mW/4381mW VDD_SOC 1731mW/1697mW
06-12-2026 19:44:27 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,37%@806,50%@806] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.312C soc2@50.843C soc0@50.625C gpu@52.593C tj@54.312C soc1@51.5C VDD_IN 9721mW/9255mW VDD_CPU_GPU_CV 4943mW/4397mW VDD_SOC 1731mW/1698mW
06-12-2026 19:44:27 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@1036,45%@1036] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@50.812C soc0@50.781C gpu@52.406C tj@54.437C soc1@51.468C VDD_IN 10036mW/9276mW VDD_CPU_GPU_CV 5131mW/4417mW VDD_SOC 1731mW/1699mW
06-12-2026 19:44:27 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@1036,53%@1036] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.312C soc2@50.875C soc0@50.718C gpu@52.687C tj@54.312C soc1@51.5C VDD_IN 9997mW/9295mW VDD_CPU_GPU_CV 5052mW/4433mW VDD_SOC 1771mW/1701mW
06-12-2026 19:44:27 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,58%@1036,37%@1036] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@50.937C soc0@50.75C gpu@52.593C tj@54.343C soc1@51.468C VDD_IN 9958mW/9312mW VDD_CPU_GPU_CV 5052mW/4449mW VDD_SOC 1771mW/1703mW
06-12-2026 19:44:28 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@883,40%@883] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@50.875C soc0@50.593C gpu@52.718C tj@54.281C soc1@51.5C VDD_IN 9382mW/9313mW VDD_CPU_GPU_CV 4472mW/4450mW VDD_SOC 1731mW/1703mW
06-12-2026 19:44:28 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@1728,50%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.406C soc2@50.812C soc0@50.5C gpu@52.625C tj@54.406C soc1@51.5C VDD_IN 10115mW/9333mW VDD_CPU_GPU_CV 4974mW/4463mW VDD_SOC 1731mW/1704mW
06-12-2026 19:44:28 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1036,58%@1036] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.375C soc2@51.031C soc0@50.875C gpu@52.843C tj@54.562C soc1@51.468C VDD_IN 10076mW/9351mW VDD_CPU_GPU_CV 5091mW/4478mW VDD_SOC 1731mW/1705mW
