06-12-2026 22:00:18 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,53%@1267,41%@1267] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.468C soc2@51.125C soc0@50.906C gpu@52.812C tj@54.468C soc1@51.593C VDD_IN 8974mW/9404mW VDD_CPU_GPU_CV 4668mW/4503mW VDD_SOC 1655mW/1683mW
06-12-2026 22:00:18 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1190,53%@1190] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.468C soc2@51.156C soc0@50.968C gpu@52.968C tj@54.468C soc1@51.625C VDD_IN 10036mW/9419mW VDD_CPU_GPU_CV 5021mW/4516mW VDD_SOC 1692mW/1684mW
06-12-2026 22:00:18 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1728,40%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.656C soc2@51.156C soc0@50.875C gpu@52.843C tj@54.468C soc1@51.687C VDD_IN 9879mW/9430mW VDD_CPU_GPU_CV 5052mW/4529mW VDD_SOC 1771mW/1686mW
06-12-2026 22:00:18 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1574,46%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.718C soc2@51.125C soc0@50.968C gpu@52.781C tj@54.718C soc1@51.75C VDD_IN 9997mW/9443mW VDD_CPU_GPU_CV 5052mW/4541mW VDD_SOC 1692mW/1686mW
06-12-2026 22:00:18 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1344,40%@1344] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@51.125C soc0@51.062C gpu@52.875C tj@54.437C soc1@51.75C VDD_IN 10351mW/9464mW VDD_CPU_GPU_CV 5060mW/4553mW VDD_SOC 1692mW/1686mW
06-12-2026 22:00:18 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1190,50%@1190] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.468C soc2@51.125C soc0@51C gpu@52.968C tj@54.468C soc1@51.75C VDD_IN 10351mW/9484mW VDD_CPU_GPU_CV 5091mW/4565mW VDD_SOC 1689mW/1686mW
06-12-2026 22:00:19 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1036,40%@1036] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.718C soc2@51.156C soc0@51.031C gpu@52.843C tj@54.718C soc1@51.687C VDD_IN 9603mW/9486mW VDD_CPU_GPU_CV 4660mW/4567mW VDD_SOC 1689mW/1686mW
06-12-2026 22:00:19 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1267,46%@1267] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.531C soc2@51.187C soc0@50.937C gpu@52.687C tj@54.531C soc1@51.875C VDD_IN 9603mW/9489mW VDD_CPU_GPU_CV 4786mW/4571mW VDD_SOC 1692mW/1686mW
06-12-2026 22:00:19 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1728,33%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.656C soc2@51.125C soc0@50.937C gpu@52.937C tj@54.656C soc1@51.812C VDD_IN 10391mW/9508mW VDD_CPU_GPU_CV 4825mW/4577mW VDD_SOC 1692mW/1686mW
06-12-2026 22:00:19 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1344,50%@1344] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.593C soc2@51.125C soc0@50.968C gpu@52.718C tj@54.593C soc1@51.781C VDD_IN 9721mW/9512mW VDD_CPU_GPU_CV 5060mW/4586mW VDD_SOC 1692mW/1686mW
